Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744248814.473787,2025-04-10 11:33:34.473787,0.945,-19.539
1744248815.602962,2025-04-10 11:33:35.602962,0.953,-19.531
1744248816.693945,2025-04-10 11:33:36.693945,0.945,-19.516
1744248817.7680624,2025-04-10 11:33:37.768062,0.953,-19.508
1744248818.8775856,2025-04-10 11:33:38.877586,0.945,-19.508
1744248820.0031443,2025-04-10 11:33:40.003144,0.953,-19.5
1744248821.1289883,2025-04-10 11:33:41.128988,0.938,-19.492
1744248822.2573671,2025-04-10 11:33:42.257367,0.938,-19.492
1744248823.3800864,2025-04-10 11:33:43.380086,0.945,-19.477
1744248824.5090194,2025-04-10 11:33:44.509019,0.938,-19.461
1744248825.634352,2025-04-10 11:33:45.634352,0.945,-19.453
1744248826.762491,2025-04-10 11:33:46.762491,0.938,-19.469
1744248827.8357873,2025-04-10 11:33:47.835787,0.93,-19.523
1744248829.9375951,2025-04-10 11:33:49.937595,0.945,-19.5
1744248831.012374,2025-04-10 11:33:51.012374,0.945,-19.508
1744248832.0884793,2025-04-10 11:33:52.088479,0.945,-19.492
1744248833.214504,2025-04-10 11:33:53.214504,0.945,-19.5
1744248834.2892365,2025-04-10 11:33:54.289237,0.945,-19.484
1744248835.3627105,2025-04-10 11:33:55.362710,0.945,-19.484
1744248836.4410145,2025-04-10 11:33:56.441015,0.945,-19.484
1744248837.5162933,2025-04-10 11:33:57.516293,0.953,-19.477
1744248838.6435893,2025-04-10 11:33:58.643589,0.953,-19.492
1744248839.7669618,2025-04-10 11:33:59.766962,0.953,-19.477
1744248840.8457878,2025-04-10 11:34:00.845788,0.953,-19.461
1744248842.0202,2025-04-10 11:34:02.020200,0.953,-19.43
1744248843.146696,2025-04-10 11:34:03.146696,0.953,-19.445
1744248844.2221591,2025-04-10 11:34:04.222159,0.961,-19.43
1744248845.298202,2025-04-10 11:34:05.298202,0.953,-19.43
1744248846.4200633,2025-04-10 11:34:06.420063,0.953,-19.422
1744248847.551576,2025-04-10 11:34:07.551576,0.945,-19.406
1744248848.6772938,2025-04-10 11:34:08.677294,0.938,-19.398
1744248849.8017778,2025-04-10 11:34:09.801778,0.945,-19.406
1744248850.9311044,2025-04-10 11:34:10.931104,0.938,-19.398
1744248852.0042894,2025-04-10 11:34:12.004289,0.945,-19.398
1744248853.1826253,2025-04-10 11:34:13.182625,0.945,-19.391
1744248854.2605193,2025-04-10 11:34:14.260519,0.938,-19.383
1744248855.5376894,2025-04-10 11:34:15.537689,0.945,-19.391
1744248856.6118834,2025-04-10 11:34:16.611883,0.945,-19.375
1744248857.6836693,2025-04-10 11:34:17.683669,0.945,-19.383
1744248858.8228014,2025-04-10 11:34:18.822801,0.938,-19.383
1744248859.9556434,2025-04-10 11:34:19.955643,0.945,-19.375
1744248861.0305734,2025-04-10 11:34:21.030573,0.953,-19.352
1744248862.1028259,2025-04-10 11:34:22.102826,0.938,-19.391
1744248863.2166147,2025-04-10 11:34:23.216615,0.945,-19.352
1744248864.2902539,2025-04-10 11:34:24.290254,0.938,-19.344
1744248865.3721383,2025-04-10 11:34:25.372138,0.938,-19.344
1744248866.497577,2025-04-10 11:34:26.497577,0.93,-19.352
1744248867.6380363,2025-04-10 11:34:27.638036,0.93,-19.352
1744248868.76218,2025-04-10 11:34:28.762180,0.938,-19.352
1744248869.8739018,2025-04-10 11:34:29.873902,0.93,-19.367
1744248870.9705997,2025-04-10 11:34:30.970600,0.93,-19.383
1744248872.1386306,2025-04-10 11:34:32.138631,0.93,-19.375
1744248873.26098,2025-04-10 11:34:33.260980,0.93,-19.367
1744248874.3781862,2025-04-10 11:34:34.378186,0.93,-19.367
1744248875.5093322,2025-04-10 11:34:35.509332,0.93,-19.359
1744248876.6496985,2025-04-10 11:34:36.649698,0.922,-19.375
1744248877.7233944,2025-04-10 11:34:37.723394,0.922,-19.375
1744248878.7994175,2025-04-10 11:34:38.799417,0.922,-19.367
1744248879.9315193,2025-04-10 11:34:39.931519,0.914,-19.375
1744248881.0402274,2025-04-10 11:34:41.040227,0.914,-19.383
1744248882.1159995,2025-04-10 11:34:42.115999,0.914,-19.383
1744248883.2930536,2025-04-10 11:34:43.293054,0.906,-19.383
1744248884.4147947,2025-04-10 11:34:44.414795,0.906,-19.383
1744248885.4912784,2025-04-10 11:34:45.491278,0.93,-19.391
1744248886.5681548,2025-04-10 11:34:46.568155,0.914,-19.391
1744248887.6938708,2025-04-10 11:34:47.693871,0.883,-19.391
1744248888.821944,2025-04-10 11:34:48.821944,0.906,-19.391
1744248889.9472902,2025-04-10 11:34:49.947290,0.875,-19.383
1744248891.0723505,2025-04-10 11:34:51.072351,0.883,-19.375
1744248892.1974201,2025-04-10 11:34:52.197420,0.875,-19.391
1744248893.4290125,2025-04-10 11:34:53.429013,0.891,-19.383
1744248894.5031765,2025-04-10 11:34:54.503176,0.875,-19.391
1744248895.5786943,2025-04-10 11:34:55.578694,0.883,-19.383
1744248896.7009916,2025-04-10 11:34:56.700992,0.883,-19.383
1744248897.7764907,2025-04-10 11:34:57.776491,0.875,-19.375
1744248898.852666,2025-04-10 11:34:58.852666,0.883,-19.367
1744248899.9804964,2025-04-10 11:34:59.980496,0.875,-19.375
1744248902.1683056,2025-04-10 11:35:02.168306,0.875,-19.281
1744248903.2666602,2025-04-10 11:35:03.266660,0.875,-19.359
